title,views,when
Turley calls out Chuck Schumer: A 'breathtaking' statement,5.9K views,15 minutes ago
Turley calls out Chuck Schumer: A 'breathtaking' statement,5.9K views,15 minutes ago
Supreme Court blocks Biden's student loan forgiveness plan,117K views,3 hours ago
Biden bizarrely wanders off MSNBC set after live interview,45K views,6 hours ago
Jimmy Failla: Democrats claim equality is 'racist' | Fox Across America,23K views,10 hours ago
DeSantis slings pies at NYC pizzeria with Watters,119K views,17 hours ago
Parkland shooting deputy not guilty on all accounts,28K views,22 hours ago
Americans are tired of this act: Chris Christie,31K views,1 day ago
Joe Biden REALLY didn't like this question: Doocy,514K views,1 day ago
Gutfeld: Eric Adams wants you to forget about the drugs and violence,88K views,1 day ago
Christie: 'Someone's lying' in Hunter Biden probe,50K views,1 day ago
Ron DeSantis: All options are on the table to defend Americans,63K views,1 day ago
Attorney for Hunter Biden IRS whistleblower speaks out on prosecution's behavior,132K views,1 day ago
This is an inferno and an obvious cover-up: Rantz,108K views,2 days ago
Daniel Penny enters not guilty plea during second arraignment,16K views,2 days ago
Ingraham: What record can the new Democrat 'stars' point to?,87K views,2 days ago
Hannity: The walls are closing in on top Biden family syndicate protector,617K views,2 days ago
'The Five': Kamala Harris is breaking new barriers as VP,232K views,2 days ago
Legacy media finally stopped ignoring this: Compagno,264K views,3 days ago
This shows how much the pandemic broke society: Failla,27K views,3 days ago
Trump allegedly discusses classified docs in leaked recording,75K views,3 days ago
Seen & Unseen: Snoop Dogg launches ‘Sleepy Joe’ cannabis brand,61K views,3 days ago
Putin is playing both sides: Rep. Mike Waltz,13K views,3 days ago
'The Five' responds to Obama's media woes,197K views,3 days ago
NYC’s coal-fired pizzerias could get ‘crushed’ over green regs: pizzeria owner,22K views,3 days ago
Kayleigh McEnany: I cannot believe this is happening,229K views,3 days ago
Biden dodges questions on Hunter post-plea deal: 'Very proud of my son',36K views,4 days ago
RFK Jr. takes jab at Biden's 'fitness' in shirtless video,233K views,4 days ago
Media focused on Russia rebellion as Biden bombshell goes ignored,108K views,4 days ago
UNBELIEVABLE: Phone records could show extent of Biden's talks with foreign execs,438K views,4 days ago
Larry Elder: Biden's Afghanistan botched withdrawal 'unleashed the hounds',46K views,5 days ago
Wagner Group chief exiled to Belarus after Russia-targeted uprising,73K views,5 days ago
Brian Kilmeade gives the latest on the situation in Russia,97K views,5 days ago
Kayleigh McEnany: These text messages are 'damning' for Biden,201K views,5 days ago
Kellyanne Conway: Chris Christie needs to ‘read the room’,52K views,6 days ago
Biden admin releases scathing report on origin of COVID-19,156K views,6 days ago
Mike Pence calls on 2024 GOP hopefuls to stand with him on abortion stance,29K views,6 days ago
Caitlyn Jenner: Riley Gaines had a 'tremendous' amount of courage,37K views,6 days ago
Judge Jeanine: We need to lock these thieves up,78K views,6 days ago
Ingraham: The Bidens got ‘sleazier’,162K views,6 days ago
This is the left's next battleground: Leo Terrell,106K views,7 days ago
DOJ needs to ‘answer’ for this: IRS whistleblower attorney,62K views,7 days ago
Kayleigh McEnany: This is explosive information about Hunter Biden,289K views,7 days ago
Rep. Jason Smith: Whistleblowers show the government has two-tiered justice system,35K views,7 days ago
Hannity: IRS whistleblowers emerge with explosive allegations about Hunter Biden probe,209K views,7 days ago
Judge Jeanine: Democrats don't want to admit this,211K views,7 days ago
"Whether you like Trump or not, he was telling the truth: GOP rep",260K views,8 days ago
Former Titan passenger: ‘You accept a lot of risk’,38K views,8 days ago
Ingraham: America needs to begin decoupling from China,51K views,8 days ago
Americans think there is an FBI double standard because there is: Rep. Jim Jordan,65K views,8 days ago
Ron DeSantis: This is a hoax,283K views,8 days ago
'The Five': Democrats BLOW UP as Durham testifies before congress,575K views,8 days ago
'SOME EXPLAINING TO DO': White House misses another congressional deadline,85K views,9 days ago
Hunter Biden unlikely to face jail time following 'lenient' plea deal,12K views,9 days ago
This is how you prevent World War III: Rep Mike Waltz,25K views,9 days ago
Biden is willing to be tough on these crimes unless it is his kid: Brett Tolman,35K views,9 days ago
Jesse Watters: Is President Biden still proud of Hunter?,202K views,9 days ago
"Leo Terrell on Hunter Biden deal: If you're a Democrat, you get off scot-free",43K views,9 days ago
America’s adversaries ‘smell weakness’ in the White House: Rep. Waltz,20K views,10 days ago
Joe is bad and Fetterman is worse: Gutfeld,324K views,10 days ago
Does RFK Jr. have a point? | Will Cain Podcast,48K views,10 days ago
Somebody should tell Biden it’s 2023: Raymond Arroyo,379K views,10 days ago
Jesse Watters: The White House can't protect Biden from this,1.2M views,10 days ago
Donald Trump speaks out in exclusive upcoming interview,493K views,10 days ago
Titanic tourist submersible missing in Atlantic Ocean,85K views,11 days ago
NOT GOOD: China expert warns of Beiing's tactic to 'humiliate' US,90K views,11 days ago
"SF mayor claps back at far-left city supervisor, defends drug crackdown",41K views,11 days ago
Mark Levin on Trump indictment: 'This is sickening',366K views,11 days ago
A BIG DEAL: Bombshell report reveals new details on first COVID victims,718K views,11 days ago
Ramaswamy rips 'laughable' allegation behind 2024 run: 'This is a joke',301K views,12 days ago
Jimmy Failla: This is crushing California,203K views,12 days ago
Brian Kilmeade: This is a horror story,116K views,12 days ago
China is ‘testing’ the Biden administration: Vivek Ramaswamy,107K views,12 days ago
"Cyber attackers stealing ‘super private’ information from govt, private companies",27K views,13 days ago
Putin sends chilling statement to the West,504K views,13 days ago
'Duck Family Treasure' family scolds Dodgers honoring controversial group,61K views,13 days ago
Jesse Watters: San Francisco needs an intervention,613K views,13 days ago
Jesse Watters: This is the deal Biden-Newsom cut,327K views,13 days ago
McEnany calls out Barack Obama's 'condescension and fear',181K views,2 weeks ago
Tim Scott hits back at Barack Obama: The left doesn't like a Black conservative,132K views,2 weeks ago
The FBI knew this all along: Rep. James Comer,121K views,2 weeks ago
Cornel West faces off with Laura Ingraham: 'We actually agree on a lot',167K views,2 weeks ago
Jesse Watters: Democrats are resorting to the dirty tricks of old,101K views,2 weeks ago
Ingraham: These are serious allegations against President Biden,139K views,2 weeks ago
This Biden official admitted his incompetence to the Senate: Rep. Mark Green,48K views,2 weeks ago
Trump is a threat to the liberal media agenda: Jason Chaffetz,43K views,2 weeks ago
Brian Kilmeade: This is an unprecedented turn in American history,60K views,2 weeks ago
Lawrence Jones: This is all about getting rid of cops,21K views,2 weeks ago
Portland resident sounds off on city’s plans to house homeless community,77K views,2 weeks ago
"Biden, KJP refuse to address $5M bribery allegations",253K views,2 weeks ago
Trump supporters rally outside court: ‘They’re afraid of him’,134K views,2 weeks ago
Gutfeld: This is baffling and bizarre,176K views,2 weeks ago
