title,views,when
Turley calls out Chuck Schumer: A 'breathtaking' statement,5900,15
Turley calls out Chuck Schumer: A 'breathtaking' statement,5900,15
Supreme Court blocks Biden's student loan forgiveness plan,117000,180
Biden bizarrely wanders off MSNBC set after live interview,45000,360
Jimmy Failla: Democrats claim equality is 'racist' | Fox Across America,23000,600
DeSantis slings pies at NYC pizzeria with Watters,119000,1020
Parkland shooting deputy not guilty on all accounts,28000,1320
Americans are tired of this act: Chris Christie,31000,1440
Joe Biden REALLY didn't like this question: Doocy,514000,1440
Gutfeld: Eric Adams wants you to forget about the drugs and violence,88000,1440
Christie: 'Someone's lying' in Hunter Biden probe,50000,1440
Ron DeSantis: All options are on the table to defend Americans,63000,1440
Attorney for Hunter Biden IRS whistleblower speaks out on prosecution's behavior,132000,1440
This is an inferno and an obvious cover-up: Rantz,108000,2880
Daniel Penny enters not guilty plea during second arraignment,16000,2880
Ingraham: What record can the new Democrat 'stars' point to?,87000,2880
Hannity: The walls are closing in on top Biden family syndicate protector,617000,2880
'The Five': Kamala Harris is breaking new barriers as VP,232000,2880
Legacy media finally stopped ignoring this: Compagno,264000,4320
This shows how much the pandemic broke society: Failla,27000,4320
Trump allegedly discusses classified docs in leaked recording,75000,4320
Seen & Unseen: Snoop Dogg launches ‘Sleepy Joe’ cannabis brand,61000,4320
Putin is playing both sides: Rep. Mike Waltz,13000,4320
'The Five' responds to Obama's media woes,197000,4320
NYC’s coal-fired pizzerias could get ‘crushed’ over green regs: pizzeria owner,22000,4320
Kayleigh McEnany: I cannot believe this is happening,229000,4320
Biden dodges questions on Hunter post-plea deal: 'Very proud of my son',36000,5760
RFK Jr. takes jab at Biden's 'fitness' in shirtless video,233000,5760
Media focused on Russia rebellion as Biden bombshell goes ignored,108000,5760
UNBELIEVABLE: Phone records could show extent of Biden's talks with foreign execs,438000,5760
Larry Elder: Biden's Afghanistan botched withdrawal 'unleashed the hounds',46000,7200
Wagner Group chief exiled to Belarus after Russia-targeted uprising,73000,7200
Brian Kilmeade gives the latest on the situation in Russia,97000,7200
Kayleigh McEnany: These text messages are 'damning' for Biden,201000,7200
Kellyanne Conway: Chris Christie needs to ‘read the room’,52000,8640
Biden admin releases scathing report on origin of COVID-19,156000,8640
Mike Pence calls on 2024 GOP hopefuls to stand with him on abortion stance,29000,8640
Caitlyn Jenner: Riley Gaines had a 'tremendous' amount of courage,37000,8640
Judge Jeanine: We need to lock these thieves up,78000,8640
Ingraham: The Bidens got ‘sleazier’,162000,8640
This is the left's next battleground: Leo Terrell,106000,10080
DOJ needs to ‘answer’ for this: IRS whistleblower attorney,62000,10080
Kayleigh McEnany: This is explosive information about Hunter Biden,289000,10080
Rep. Jason Smith: Whistleblowers show the government has two-tiered justice system,35000,10080
Hannity: IRS whistleblowers emerge with explosive allegations about Hunter Biden probe,209000,10080
Judge Jeanine: Democrats don't want to admit this,211000,10080
"Whether you like Trump or not, he was telling the truth: GOP rep",260000,11520
Former Titan passenger: ‘You accept a lot of risk’,38000,11520
Ingraham: America needs to begin decoupling from China,51000,11520
Americans think there is an FBI double standard because there is: Rep. Jim Jordan,65000,11520
Ron DeSantis: This is a hoax,283000,11520
'The Five': Democrats BLOW UP as Durham testifies before congress,575000,11520
'SOME EXPLAINING TO DO': White House misses another congressional deadline,85000,12960
Hunter Biden unlikely to face jail time following 'lenient' plea deal,12000,12960
This is how you prevent World War III: Rep Mike Waltz,25000,12960
Biden is willing to be tough on these crimes unless it is his kid: Brett Tolman,35000,12960
Jesse Watters: Is President Biden still proud of Hunter?,202000,12960
"Leo Terrell on Hunter Biden deal: If you're a Democrat, you get off scot-free",43000,12960
America’s adversaries ‘smell weakness’ in the White House: Rep. Waltz,20000,14400
Joe is bad and Fetterman is worse: Gutfeld,324000,14400
Does RFK Jr. have a point? | Will Cain Podcast,48000,14400
Somebody should tell Biden it’s 2023: Raymond Arroyo,379000,14400
Jesse Watters: The White House can't protect Biden from this,1200000,14400
Donald Trump speaks out in exclusive upcoming interview,493000,14400
Titanic tourist submersible missing in Atlantic Ocean,85000,15840
NOT GOOD: China expert warns of Beiing's tactic to 'humiliate' US,90000,15840
"SF mayor claps back at far-left city supervisor, defends drug crackdown",41000,15840
Mark Levin on Trump indictment: 'This is sickening',366000,15840
A BIG DEAL: Bombshell report reveals new details on first COVID victims,718000,15840
Ramaswamy rips 'laughable' allegation behind 2024 run: 'This is a joke',301000,17280
Jimmy Failla: This is crushing California,203000,17280
Brian Kilmeade: This is a horror story,116000,17280
China is ‘testing’ the Biden administration: Vivek Ramaswamy,107000,17280
"Cyber attackers stealing ‘super private’ information from govt, private companies",27000,18720
Putin sends chilling statement to the West,504000,18720
'Duck Family Treasure' family scolds Dodgers honoring controversial group,61000,18720
Jesse Watters: San Francisco needs an intervention,613000,18720
Jesse Watters: This is the deal Biden-Newsom cut,327000,18720
McEnany calls out Barack Obama's 'condescension and fear',181000,20160
Tim Scott hits back at Barack Obama: The left doesn't like a Black conservative,132000,20160
The FBI knew this all along: Rep. James Comer,121000,20160
Cornel West faces off with Laura Ingraham: 'We actually agree on a lot',167000,20160
Jesse Watters: Democrats are resorting to the dirty tricks of old,101000,20160
Ingraham: These are serious allegations against President Biden,139000,20160
This Biden official admitted his incompetence to the Senate: Rep. Mark Green,48000,20160
Trump is a threat to the liberal media agenda: Jason Chaffetz,43000,20160
Brian Kilmeade: This is an unprecedented turn in American history,60000,20160
Lawrence Jones: This is all about getting rid of cops,21000,20160
Portland resident sounds off on city’s plans to house homeless community,77000,20160
"Biden, KJP refuse to address $5M bribery allegations",253000,20160
Trump supporters rally outside court: ‘They’re afraid of him’,134000,20160
Gutfeld: This is baffling and bizarre,176000,20160
'STONEWALLING': Sen. Cruz accuses FBI of 'covering up' for Bidens,51000,20160
Jesse Watters: Biden banned a trans flasher from the White House,804000,20160
Legal panel sounds off on Biden's scandals as Trump appears in court,88000,20160
Sean Hannity: The rule of law doesn't mean much to the Bidens,87000,20160
‘The Five’ reacts to Gavin Newsom’s ‘excuses’ on the state’s homeless crisis,327000,20160
College grad's 'hate-fueled' address sparks fury,257000,20160
This is a serious problem for Trump: Douglas Murray,104000,20160
Trump responds to federal charges: 'No criminality here',57000,20160
Trump scoffs at indictment: This is 'election interference',42000,20160
What stories are the media failing to cover?,59000,20160
"Gavin Newsom: This was an 'embarrassing, pathetic stunt' by DeSantis",379000,20160
A Trump conviction would prove he was 'reckless with national security': Haley,46000,20160
Kayleigh McEnany: This is backfiring massively on the left,824000,20160
This was a 'total setup' from liberal reporter to Biden: Marco Rubio,151000,20160
'I had to act': Marine vet charged in NYC chokehold death speaks out,68000,20160
White House accused of violating flag code with Pride display,225000,20160
James Comer: The Biden family had 20 shell companies,360000,20160
Gutfeld: Newsom should stick to destroying California,340000,20160
Trump indictment proves DC is a 'cesspool of dishonesty': Charlie Hurt,68000,20160
Kat Timpf: This is killing comedy,65000,20160
Lawrence Jones: These parents are terrified,107000,20160
Judge Jeanine on Trump indictment: 'This is crazy',163000,20160
Tulsi Gabbard: Biden deserves to be impeached if this is true,227000,20160
Texas deploys new strategy to handle migrant influx,713000,20160
Trump attorney: I’ve never seen such selective prosecution in my life,152000,20160
All of America should see this document: Rep. Marjorie Taylor Greene,481000,20160
Maybe AOC will jump into the primary: Mark Penn,36000,20160
Jesse Watters: The Biden admin wants Trump to die in prison,291000,20160
Bill Barr hits back at top Democrat over Biden probe: 'He's confused',181000,20160
Kayleigh McEnany: We’re now in uncharted territory,189000,30240
'RIDICULOUS': Moms group listed on extremist 'hate map',25000,30240
Michael Shellenberger: This sounds absolutely crazy,606000,30240
Real ‘criminal acts’ are being ignored: Charlie Hurt,27000,30240
James Comer: There are more Biden documents,483000,30240
‘The Five’: A ‘Squad’ member went off about being ‘anti-woke’,307000,30240
Martha Stewart warns America could 'go down the drain',81000,30240
"‘VIRTUAL CERTAINTY’: Trump will be charged for classified docs, Andy McCarthy says",80000,30240
Gutfeld: CNN showed its boss the door,182000,30240
Biden admin has a 'fatal attraction to nutty ideas': Sen. Kennedy,105000,30240
Is Prince Harry really concerned about public exposure?,21000,30240
Jesse Watters: Trudeau hasn’t apologized,225000,30240
