title,views,when
Ingraham: America needs to begin decoupling from China,51000,11520
NOT GOOD: China expert warns of Beiing's tactic to 'humiliate' US,90000,15840
China is ‘testing’ the Biden administration: Vivek Ramaswamy,107000,17280
China knows ‘no bounds’: Top Republican,13000,30240
Steve Hilton: FBI is operating as an enforcer of the Democratic Party's agenda,43000,43200
Trump official warns against China's global influence: 'They're relentless',43000,43200
China would attack American homeland 'massively' if war starts: Gen. Keane,841000,43200
Tudor Dixon: The Left Is Waging A War On Hot Chicks | Fox Across America,32000,43200
"Trump trolls 'Rob DeSanctimonious,' warns him about Marxist 'lunatics'",99000,43200
Ingraham: Trump is the only candidate with ‘credibility’,152000,43200
Durham report: Schiff staffer reportedly intimidated researcher over Trump-Russia ties,568000,43200
Steve Hilton: There is a war on our children,23000,43200
Steve Hilton: Extremist Democrats are neglecting this,28000,43200
'TREASONOUS CHARADE': Trump reacts to release of Durham report,704000,43200
Anderson Cooper ripped for 'condescending' message after Trump town hall,148000,43200
Joe Biden is enabling Hunter and it's sick: Sen. Johnson,101000,43200
Steve Hilton fact-checks Fauci: 'It all makes sense now',153000,43200
Hilton: Biden is pandering to the far-left climate zealots,19000,86400
'BOLD-FACED': Blinken accused of lying under oath to protect Hunter Biden,257000,86400
Hunter Biden accused of playing 'destitute' artist to lower child support payments,99000,86400
