title,views,when,words
Turley calls out Chuck Schumer: A 'breathtaking' statement,5900,15,"['turley', 'calls', 'out', 'chuck', 'schumer', 'a', 'breathtaking', 'statement']"
Turley calls out Chuck Schumer: A 'breathtaking' statement,5900,15,"['turley', 'calls', 'out', 'chuck', 'schumer', 'a', 'breathtaking', 'statement']"
Supreme Court blocks Biden's student loan forgiveness plan,117000,180,"['supreme', 'court', 'blocks', 'bidens', 'student', 'loan', 'forgiveness', 'plan']"
Biden bizarrely wanders off MSNBC set after live interview,45000,360,"['biden', 'bizarrely', 'wanders', 'off', 'msnbc', 'set', 'after', 'live', 'interview']"
Jimmy Failla: Democrats claim equality is 'racist' | Fox Across America,23000,600,"['jimmy', 'failla', 'democrats', 'claim', 'equality', 'is', 'racist', 'fox', 'across', 'america']"
DeSantis slings pies at NYC pizzeria with Watters,119000,1020,"['desantis', 'slings', 'pies', 'at', 'nyc', 'pizzeria', 'with', 'watters']"
Parkland shooting deputy not guilty on all accounts,28000,1320,"['parkland', 'shooting', 'deputy', 'not', 'guilty', 'on', 'all', 'accounts']"
Americans are tired of this act: Chris Christie,31000,1440,"['americans', 'are', 'tired', 'of', 'this', 'act', 'chris', 'christie']"
Joe Biden REALLY didn't like this question: Doocy,514000,1440,"['joe', 'biden', 'really', 'didnt', 'like', 'this', 'question', 'doocy']"
Gutfeld: Eric Adams wants you to forget about the drugs and violence,88000,1440,"['gutfeld', 'eric', 'adams', 'wants', 'you', 'to', 'forget', 'about', 'the', 'drugs', 'and', 'violence']"
Christie: 'Someone's lying' in Hunter Biden probe,50000,1440,"['christie', 'someones', 'lying', 'in', 'hunter', 'biden', 'probe']"
Ron DeSantis: All options are on the table to defend Americans,63000,1440,"['ron', 'desantis', 'all', 'options', 'are', 'on', 'the', 'table', 'to', 'defend', 'americans']"
Attorney for Hunter Biden IRS whistleblower speaks out on prosecution's behavior,132000,1440,"['attorney', 'for', 'hunter', 'biden', 'irs', 'whistleblower', 'speaks', 'out', 'on', 'prosecutions', 'behavior']"
This is an inferno and an obvious cover-up: Rantz,108000,2880,"['this', 'is', 'an', 'inferno', 'and', 'an', 'obvious', 'coverup', 'rantz']"
Daniel Penny enters not guilty plea during second arraignment,16000,2880,"['daniel', 'penny', 'enters', 'not', 'guilty', 'plea', 'during', 'second', 'arraignment']"
