title,views,when,words
Ingraham: America needs to begin decoupling from China,51000,11520,"['ingraham', 'america', 'needs', 'to', 'begin', 'decoupling', 'from', 'china']"
NOT GOOD: China expert warns of Beiing's tactic to 'humiliate' US,90000,15840,"['not', 'good', 'china', 'expert', 'warns', 'of', 'beiings', 'tactic', 'to', 'humiliate', 'us']"
China is ‘testing’ the Biden administration: Vivek Ramaswamy,107000,17280,"['china', 'is', 'testing', 'the', 'biden', 'administration', 'vivek', 'ramaswamy']"
China knows ‘no bounds’: Top Republican,13000,30240,"['china', 'knows', 'no', 'bounds', 'top', 'republican']"
Steve Hilton: FBI is operating as an enforcer of the Democratic Party's agenda,43000,43200,"['steve', 'hilton', 'fbi', 'is', 'operating', 'as', 'an', 'enforcer', 'of', 'the', 'democratic', 'partys', 'agenda']"
Trump official warns against China's global influence: 'They're relentless',43000,43200,"['trump', 'official', 'warns', 'against', 'chinas', 'global', 'influence', 'theyre', 'relentless']"
China would attack American homeland 'massively' if war starts: Gen. Keane,841000,43200,"['china', 'would', 'attack', 'american', 'homeland', 'massively', 'if', 'war', 'starts', 'gen', 'keane']"
Tudor Dixon: The Left Is Waging A War On Hot Chicks | Fox Across America,32000,43200,"['tudor', 'dixon', 'the', 'left', 'is', 'waging', 'a', 'war', 'on', 'hot', 'chicks', 'fox', 'across', 'america']"
"Trump trolls 'Rob DeSanctimonious,' warns him about Marxist 'lunatics'",99000,43200,"['trump', 'trolls', 'rob', 'desanctimonious', 'warns', 'him', 'about', 'marxist', 'lunatics']"
Ingraham: Trump is the only candidate with ‘credibility’,152000,43200,"['ingraham', 'trump', 'is', 'the', 'only', 'candidate', 'with', 'credibility']"
Durham report: Schiff staffer reportedly intimidated researcher over Trump-Russia ties,568000,43200,"['durham', 'report', 'schiff', 'staffer', 'reportedly', 'intimidated', 'researcher', 'over', 'trumprussia', 'ties']"
Steve Hilton: There is a war on our children,23000,43200,"['steve', 'hilton', 'there', 'is', 'a', 'war', 'on', 'our', 'children']"
Steve Hilton: Extremist Democrats are neglecting this,28000,43200,"['steve', 'hilton', 'extremist', 'democrats', 'are', 'neglecting', 'this']"
'TREASONOUS CHARADE': Trump reacts to release of Durham report,704000,43200,"['treasonous', 'charade', 'trump', 'reacts', 'to', 'release', 'of', 'durham', 'report']"
Anderson Cooper ripped for 'condescending' message after Trump town hall,148000,43200,"['anderson', 'cooper', 'ripped', 'for', 'condescending', 'message', 'after', 'trump', 'town', 'hall']"
Joe Biden is enabling Hunter and it's sick: Sen. Johnson,101000,43200,"['joe', 'biden', 'is', 'enabling', 'hunter', 'and', 'its', 'sick', 'sen', 'johnson']"
Steve Hilton fact-checks Fauci: 'It all makes sense now',153000,43200,"['steve', 'hilton', 'factchecks', 'fauci', 'it', 'all', 'makes', 'sense', 'now']"
Hilton: Biden is pandering to the far-left climate zealots,19000,86400,"['hilton', 'biden', 'is', 'pandering', 'to', 'the', 'farleft', 'climate', 'zealots']"
'BOLD-FACED': Blinken accused of lying under oath to protect Hunter Biden,257000,86400,"['boldfaced', 'blinken', 'accused', 'of', 'lying', 'under', 'oath', 'to', 'protect', 'hunter', 'biden']"
Hunter Biden accused of playing 'destitute' artist to lower child support payments,99000,86400,"['hunter', 'biden', 'accused', 'of', 'playing', 'destitute', 'artist', 'to', 'lower', 'child', 'support', 'payments']"
